city,estimated_market_value,geocoded_column,parcel_id,property_type,state,street_address,tax_year,zip_code
ST PAUL,446500,,342923420019,Real Property,MN,0  HAMLINE AVE N,2020,55104
ST PAUL,471000,"{'type': 'Point', 'coordinates': [-93.19885, 44.956653]}",322923240137,Real Property,MN,529  GLENDALE ST,2020,55104
ST PAUL,141900,,342923140212,Real Property,MN,UNIVERSITY AVE W,2020,55104
ST PAUL,65500,,042823120145,Real Property,MN,0  SELBY AVE,2020,55104
ST PAUL,10000,,032823210077,Real Property,MN,0  MARSHALL AVE,2020,55104
ST PAUL,102100,,322923230044,Real Property,MN,0  BEVERLY RD,2020,55104
ST PAUL,45400,,342923340011,Real Property,MN,0  MARSHALL AVE,2020,55104
ST PAUL,27300,,342923340013,Real Property,MN,0  HAMLINE AVE N,2020,55104
ST PAUL,204700,,282923320014,Real Property,MN,PRIOR AVE N,2020,55104
ST PAUL,76500,,342923240212,Real Property,MN,0  SHERBURNE AVE,2020,55104
ST PAUL,5065500,"{'type': 'Point', 'coordinates': [-93.148172, 44.951213]}",342923440001,Real Property,MN,1142  CONCORDIA AVE,2020,55104
ST PAUL,100,,352923240229,Real Property,MN,0  EDMUND AVE,2020,55104
ST PAUL,82800,,332923240061,Real Property,MN,PRIOR AVE N,2020,55104
ST PAUL,60000,,332923440056,Real Property,MN,0  PIERCE ST,2020,55104
ST PAUL,47000,,352923330004,Real Property,MN,0  CONCORDIA AVE,2020,55104
ST PAUL,1391800,"{'type': 'Point', 'coordinates': [-93.139657, 44.960279]}",352923210180,Real Property,MN,935 LAFOND AVE W,2020,55104
ST PAUL,45600,,262923340005,Real Property,MN,0  PIERCE BUTLER ROUTE,2020,55104
ST PAUL,32700,,332923230010,Real Property,MN,UNASSIGNED,2020,55104
ST PAUL,50200,,352923320020,Real Property,MN,0  AURORA AVE,2020,55104
ST PAUL,54300,,032823220027,Real Property,MN,0  DAYTON AVE,2020,55104
ST PAUL,251300,,342923230225,Real Property,MN,0  THOMAS AVE,2020,55104
ST PAUL,225000,,332923240013,Real Property,MN,UNIVERSITY AVE W,2020,55104
ST PAUL,1004600,"{'type': 'Point', 'coordinates': [-93.135306, 44.955833]}",352923130240,Real Property,MN,833 UNIVERSITY AVE,2020,55104
ST PAUL,84000,,332923140074,Real Property,MN,0  SHERBURNE AVE,2020,55104
ST PAUL,62400,,342923310025,Real Property,MN,0  HAMLINE AVE N,2020,55104
ST PAUL,35000,,282923340143,Real Property,MN,0  CHELTON AVE,2020,55104
ST PAUL,5881800,"{'type': 'Point', 'coordinates': [-93.166115, 44.949359]}",342923330135,Real Property,MN,1560  IGLEHART AVE,2020,55104
ST PAUL,936300,,332923240070,Real Property,MN,0  CHARLES AVE,2020,55104
ST PAUL,64800,,332923420010,Real Property,MN,UNIVERSITY AVE W,2020,55104
ST PAUL,56500,,332923140005,Real Property,MN,SNELLING AVE N,2020,55104
ST PAUL,50000,,332923420009,Real Property,MN,UNIVERSITY AVE W,2020,55104
ST PAUL,2087600,"{'type': 'Point', 'coordinates': [-93.193557, 44.943275]}",052823130066,Real Property,MN,239 MISSISSIPPI RIVER BLVD N,2020,55104
ST PAUL,36000,,342923340030,Real Property,MN,0  CARROLL AVE,2020,55104
ST PAUL,84000,,332923140071,Real Property,MN,0  SHERBURNE AVE,2020,55104
ST PAUL,119800,,352923140204,Real Property,MN,UNIVERSITY AVE W,2020,55104
ST PAUL,102100,,332923410125,Real Property,MN,0  ST ANTHONY AVE,2020,55104
ST PAUL,248000,,332923220027,Real Property,MN,UNIVERSITY AVE W,2020,55104
ST PAUL,104900,,352923320011,Real Property,MN,0  AURORA AVE,2020,55104
ST PAUL,1243700,"{'type': 'Point', 'coordinates': [-93.166907, 44.948171]}",032823220173,Real Property,MN,234 SNELLING AVE N,2020,55104
ST PAUL,95400,,322923310003,Real Property,MN,0  FRONTENAC PL,2020,55104
